Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-01
Vertical Offset,+6.666667E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
+1.2041976048E-01,-4.291667E-02
+1.2091976048E-01,-6.666667E-02
+1.2141976048E-01,-6.250000E-02
+1.2191976048E-01,-2.500000E-02
+1.2241976048E-01,+9.812500E-02
+1.2291976048E-01,+9.395833E-02
+1.2341976048E-01,-7.145833E-02
+1.2391976048E-01,-5.666667E-02
+1.2441976048E-01,-6.437500E-02
+1.2491976048E-01,+8.750000E-03
+1.2541976048E-01,+1.420833E-01
+1.2591976048E-01,+1.687500E-02
+1.2641976048E-01,-7.208333E-02
+1.2691976048E-01,-5.750000E-02
+1.2741976048E-01,-5.104167E-02
+1.2791976048E-01,+5.291667E-02
+1.2841976048E-01,+1.412500E-01
+1.2891976048E-01,-3.979167E-02
+1.2941976048E-01,-6.062500E-02
+1.2991976048E-01,-6.729167E-02
+1.3041976048E-01,-2.583333E-02
+1.3091976048E-01,+1.014583E-01
+1.3141976048E-01,+8.604167E-02
+1.3191976048E-01,-6.583334E-02
+1.3241976048E-01,-5.291667E-02
+1.3291976048E-01,-6.833334E-02
+1.3341976048E-01,+1.145833E-02
+1.3391976048E-01,+1.391667E-01
+1.3441976048E-01,+1.541667E-02
+1.3491976048E-01,-6.500001E-02
+1.3541976048E-01,-6.083333E-02
+1.3591976048E-01,-5.354167E-02
+1.3641976048E-01,+5.520833E-02
+1.3691976048E-01,+1.339583E-01
+1.3741976048E-01,-3.520833E-02
+1.3791976048E-01,-5.208334E-02
+1.3841976048E-01,-7.104167E-02
+1.3891976048E-01,-2.625000E-02
+1.3941976048E-01,+1.018750E-01
+1.3991976048E-01,+8.145834E-02
+1.4041976048E-01,-5.770833E-02
+1.4091976048E-01,-5.104167E-02
+1.4141976048E-01,-7.104167E-02
+1.4191976048E-01,+9.791667E-03
+1.4241976048E-01,+1.362500E-01
+1.4291976048E-01,+1.791667E-02
+1.4341976048E-01,-5.416667E-02
+1.4391976048E-01,-6.291667E-02
+1.4441976048E-01,-5.812500E-02
+1.4491976048E-01,+5.375000E-02
+1.4541976048E-01,+1.279167E-01
+1.4591976048E-01,-3.062500E-02
+1.4641976048E-01,-4.604167E-02
+1.4691976048E-01,-7.395834E-02
+1.4741976048E-01,-2.791667E-02
+1.4791976048E-01,+9.875000E-02
+1.4841976048E-01,+8.062501E-02
+1.4891976048E-01,-4.875000E-02
+1.4941976048E-01,-4.937500E-02
+1.4991976048E-01,-7.604167E-02
+1.5041976048E-01,+8.750000E-03
+1.5091976048E-01,+1.289583E-01
+1.5141976048E-01,+1.791667E-02
+1.5191976048E-01,-4.520833E-02
+1.5241976048E-01,-6.312500E-02
+1.5291976048E-01,-6.083333E-02
+1.5341976048E-01,+5.312500E-02
+1.5391976048E-01,+1.237500E-01
+1.5441976048E-01,-2.562500E-02
+1.5491976048E-01,-4.125000E-02
+1.5541976048E-01,-7.708333E-02
+1.5591976048E-01,-3.062500E-02
+1.5641976048E-01,+9.479167E-02
+1.5691976048E-01,+7.729167E-02
+1.5741976048E-01,-3.979167E-02
+1.5791976048E-01,-4.750000E-02
+1.5841976048E-01,-8.000000E-02
+1.5891976048E-01,+9.791667E-03
+1.5941976048E-01,+1.229167E-01
+1.5991976048E-01,+1.645833E-02
+1.6041976048E-01,-3.729167E-02
+1.6091976048E-01,-6.500001E-02
+1.6141976048E-01,-6.416667E-02
+1.6191976048E-01,+5.375000E-02
+1.6241976048E-01,+1.175000E-01
+1.6291976048E-01,-1.979167E-02
+1.6341976048E-01,-3.437500E-02
+1.6391976048E-01,-8.104167E-02
+1.6441976048E-01,-3.104167E-02
+1.6491976048E-01,+9.229167E-02
+1.6541976048E-01,+7.020833E-02
+1.6591976048E-01,-3.125000E-02
+1.6641976048E-01,-4.604167E-02
+1.6691976048E-01,-8.437500E-02
+1.6741976048E-01,+9.375000E-03
+1.6791976048E-01,+1.202083E-01
+1.6841976048E-01,+1.791667E-02
+1.6891976048E-01,-2.854167E-02
+1.6941976048E-01,-6.541667E-02
+1.6991976048E-01,-6.583334E-02
+1.7041976048E-01,+5.104167E-02
+1.7091976048E-01,+1.118750E-01
+1.7141976048E-01,-1.437500E-02
+1.7191976048E-01,-2.958333E-02
+1.7241976048E-01,-8.395834E-02
+1.7291976048E-01,-3.083333E-02
+1.7341976048E-01,+9.104167E-02
+1.7391976048E-01,+6.770834E-02
+1.7441976048E-01,-2.333333E-02
+1.7491976048E-01,-4.229167E-02
+1.7541976048E-01,-8.895834E-02
+1.7591976048E-01,+8.333334E-03
+1.7641976048E-01,+1.150000E-01
+1.7691976048E-01,+1.770833E-02
+1.7741976048E-01,-2.083333E-02
+1.7791976048E-01,-6.562500E-02
+1.7841976048E-01,-6.708334E-02
+1.7891976048E-01,+5.083333E-02
+1.7941976048E-01,+1.050000E-01
+1.7991976048E-01,-8.750000E-03
+1.8041976048E-01,-2.416667E-02
+1.8091976048E-01,-8.875000E-02
+1.8141976048E-01,-3.250000E-02
